compositor,periodo
NEPOMUCENO,MODERNO
NICOLAI,ROMANTISMO
NIELSEN,ROMANTISMO
NOBRE,CONTEMPORÂNEO
NUNES GARCIA,BARROCO
O. LANNA,CONTEMPORÂNEO
ORFF,MODERNO
ORREGO-SALAS,
P. ARRUDA,CONTEMPORÂNEO
PACHECO,
PACHELBEL,BARROCO
PADOVANI,
PAGANINI,ROMANTISMO
PASCOAL,
PECK,
PENDERECKI,CONTEMPORÂNEO
PENIDO,
PETRASSI,
PIAZZOLLA,CONTEMPORÂNEO
PIAZZOLLA/Garofali,CONTEMPORÂNEO
PIAZZOLLA/Mechetti,CONTEMPORÂNEO
PLOG,
PONCHIELLI,
POULENC,ROMANTISMO
PROKOFIEV,MODERNO
PUCCINI,ROMANTISMO
PURCELL,BARROCO
R. GOULART,
R. HYPPOLITO,
R. NASSIF,CONTEMPORÂNEO
R. STRAUSS,ROMANTISMO
R. VIEIRA,
RACHMANINOV,ROMANTISMO
RAFF,
RAVEL,MODERNO
REICH,CONTEMPORÂNEO
REIS,CONTEMPORÂNEO
RESPIGHI,MODERNO
REVUELTAS,
RIMSKY-KORSAKOV,ROMANTISMO
RIMSKY-KORSAKOV/Cable,ROMANTISMO
RIPPER,CONTEMPORÂNEO
RODRIGO,MODERNO
ROSAURO,
ROSSINI,ROMANTISMO
S. RODRIGO,
S. RODRIGO,
S. SCHEIDT,
SAINT-SAËNS,ROMANTISMO
SAINT-SAËNS,ROMANTISMO
SALIERI,CLASSICISMO
SANTORO,CONTEMPORÂNEO
SANTOS,
SARASATE,ROMANTISMO
SATIE,MODERNO
SATIE/Debussy,MODERNO
SCHEIDT,
SCHOENBERG,MODERNO
SCHUBERT,ROMANTISMO
SCHUMANN,ROMANTISMO
SCRIABIN,ROMANTISMO
SHOSTAKOVICH,MODERNO
SIBELIUS,ROMANTISMO
SILVA,
SMETANA,ROMANTISMO
SORO,
STEIDLE,
STRAVINSKY,MODERNO
SUPPÉ,
SZYMANOWSKI,CONTEMPORÂNEO
TAKEMITSU,CONTEMPORÂNEO
TAVARES,
TCHAIKOVSKY,ROMANTISMO
TELEMANN,BARROCO
TICHELI,
TIPPETT,CONTEMPORÂNEO
TOLDRÀ,
TOYAMA,
TURINA,
V. ALEXIM,
VASCONCELLOS CORRÊA,
VASCONCELOS,CONTEMPORÂNEO
VAUGHAN WILLIAMS,MODERNO
VELASCO,
VERDAN,
VERDI,ROMANTISMO
VIANA,
VILLA-LOBOS,MODERNO
VINE,
VITTA,
VIVALDI,BARROCO
WAGNER,ROMANTISMO
WAGNER/Maazel,ROMANTISMO
WEBER,ROMANTISMO
WEBERN,MODERNO
WIENIAWSKI,ROMANTISMO
XAVIER,
YOSHIMATSU,
ZAMPRONHA,
ZARE,
ZEMLINSKY,MODERNO
